Norm,Topic,Agent,Stance,Argument
A new rule in Climate Change suggests that communities are encouraged to take grassroots actions.,Climate Change,Agent1,disagree,Agent1 believes this because it could infringe on individual freedoms.
A new rule in Climate Change suggests that communities are encouraged to take grassroots actions.,Climate Change,Agent2,disagree,Agent2 believes this because it promotes ethical practices.
A new rule in Climate Change suggests that communities are encouraged to take grassroots actions.,Climate Change,Agent3,agree,Agent3 believes this because it encourages innovation.
A new rule in Climate Change suggests that communities are encouraged to take grassroots actions.,Climate Change,Agent4,disagree,Agent4 believes this because it aligns with societal values.
A new rule in Climate Change suggests that communities are encouraged to take grassroots actions.,Climate Change,Agent5,agree,Agent5 believes this because it is too costly to implement.
"In the context of Education Reform, the norm states that international cooperation is mandatory for success.",Education Reform,Agent1,neutral,Agent1 believes this because it could infringe on individual freedoms.
"In the context of Education Reform, the norm states that international cooperation is mandatory for success.",Education Reform,Agent2,neutral,Agent2 believes this because it has significant economic benefits.
"In the context of Education Reform, the norm states that international cooperation is mandatory for success.",Education Reform,Agent3,neutral,Agent3 believes this because it promotes ethical practices.
"In the context of Education Reform, the norm states that international cooperation is mandatory for success.",Education Reform,Agent4,disagree,Agent4 believes this because it might cause unintended consequences.
"In the context of Education Reform, the norm states that international cooperation is mandatory for success.",Education Reform,Agent5,neutral,Agent5 believes this because it could infringe on individual freedoms.
A new rule in Healthcare Accessibility suggests that this effort should not compromise personal freedoms.,Healthcare Accessibility,Agent1,neutral,Agent1 believes this because it aligns with societal values.
A new rule in Healthcare Accessibility suggests that this effort should not compromise personal freedoms.,Healthcare Accessibility,Agent2,disagree,Agent2 believes this because it has significant economic benefits.
A new rule in Healthcare Accessibility suggests that this effort should not compromise personal freedoms.,Healthcare Accessibility,Agent3,disagree,Agent3 believes this because it ensures fairness.
A new rule in Healthcare Accessibility suggests that this effort should not compromise personal freedoms.,Healthcare Accessibility,Agent4,agree,Agent4 believes this because it might cause unintended consequences.
A new rule in Healthcare Accessibility suggests that this effort should not compromise personal freedoms.,Healthcare Accessibility,Agent5,agree,Agent5 believes this because it has significant economic benefits.
"Regarding Universal Basic Income, it is proposed that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent1,neutral,Agent1 believes this because it ensures fairness.
"Regarding Universal Basic Income, it is proposed that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent2,disagree,Agent2 believes this because it promotes ethical practices.
"Regarding Universal Basic Income, it is proposed that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent3,disagree,Agent3 believes this because it encourages innovation.
"Regarding Universal Basic Income, it is proposed that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent4,disagree,Agent4 believes this because it could infringe on individual freedoms.
"Regarding Universal Basic Income, it is proposed that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent5,agree,Agent5 believes this because it promotes ethical practices.
A new rule in Animal Rights suggests that communities are encouraged to take grassroots actions.,Animal Rights,Agent1,neutral,Agent1 believes this because it encourages innovation.
A new rule in Animal Rights suggests that communities are encouraged to take grassroots actions.,Animal Rights,Agent2,disagree,Agent2 believes this because it might cause unintended consequences.
A new rule in Animal Rights suggests that communities are encouraged to take grassroots actions.,Animal Rights,Agent3,disagree,Agent3 believes this because it could infringe on individual freedoms.
A new rule in Animal Rights suggests that communities are encouraged to take grassroots actions.,Animal Rights,Agent4,neutral,Agent4 believes this because it promotes ethical practices.
A new rule in Animal Rights suggests that communities are encouraged to take grassroots actions.,Animal Rights,Agent5,disagree,Agent5 believes this because it is too costly to implement.
